"id","product_code","unit_price","category","stock_sold","sale","salesman_name","customer_name","customer_gender","age","location_customer","location_shop","datetime"
1,NA,NA,NA,NA,NA,"Kellina Sayward",NA,NA,NA,"52436 Jenifer Court","Boise",2021-07-14 20:30:00
2,"Product XC65",15,"Food",8,120,"Gorden Woolis","Pasquale Gauden","Male",25,"0204 Chive Road","Charleston",2021-10-18 12:00:00
3,"Product XC19",40,"Fashion",11,440,"Bank Chataignier","Vaughn Gages","Male",41,"3016 Oak Valley Alley","Charleston",2022-07-18 03:30:00
4,"Product XC29",40,"Furniture",4,160,"Theressa Orbine","Papagena Arnaud","Female",19,"9981 Stoughton Way","El Paso",2020-01-28 09:30:00
5,"Product XC72",8,"Fashion",13,104,"Marlowe Cheshir","Reginauld Doxsey","Male",53,"3 Randy Plaza","Boise",2020-07-02 08:00:00
6,"Product XC70",50,"Furniture",13,650,"Marlowe Cheshir","Jacklin Grob","Female",24,"627 Surrey Way","Boise",2018-05-20 08:00:00
7,"Product XC30",50,"Furniture",3,150,"Gerek Musterd","Sydney Axelbee","Male",20,"58688 Atwood Circle","Midland",2020-05-06 16:00:00
8,"Product XC01",5,"Automotive",6,30,"Ingelbert Boliver","Anet Dunham","Female",19,"6 Walton Street","Peoria",2021-04-07 23:00:00
9,"Product XC69",40,"Electronics",6,240,"Gerek Musterd","Fiorenze Barks","Female",33,"04 Holy Cross Road","Midland",2018-12-11 11:30:00
10,"Product XC41",5,"Automotive",10,50,"Theressa Orbine","Jamil Platfoot","Male",51,"12 Buhler Street","El Paso",2019-03-28 07:00:00
11,"Product XC66",20,"Food",7,140,"Gorden Woolis","Nate Swannick","Male",45,"69745 Butternut Plaza","Charleston",2022-06-27 10:00:00
12,"Product XC35",15,"Health",25,375,"Boyce Krikorian","Stormie Mattedi","Female",33,"0204 Chive Road","Charleston",2018-12-31 15:00:00
13,"Product XC79",40,"Beauty",12,480,"Theressa Orbine","Waneta Beri","Female",64,"601 Gina Trail","El Paso",2018-04-09 20:00:00
14,"Product XC19",40,"Fashion",13,520,"Emlynne Filipson","Giovanni Gebby","Male",48,"651 Mariners Cove Place","Midland",2020-10-26 19:00:00
15,"Product XC15",15,"Fashion",16,240,"Bank Chataignier","Wyn Garmey","Male",44,"69745 Butternut Plaza","Charleston",2021-09-16 19:30:00
16,"Product XC49",40,"Furniture",21,840,"Chris Andreone","Maxi Fendlow","Female",48,"15917 Fremont Crossing","El Paso",2020-09-01 07:30:00
17,"Product XC11",5,"Automotive",8,40,"Nanine Sandercock","Sydney Axelbee","Male",20,"58688 Atwood Circle","Midland",2020-04-25 03:30:00
18,"Product XC46",20,"Food",10,200,"Goddard Twiddy","Arnold Matteucci","Male",25,"0454 Grover Parkway","Peoria",2018-03-06 15:30:00
19,"Product XC32",8,"Automotive",5,40,"Chris Andreone","Jamil Platfoot","Male",51,"12 Buhler Street","El Paso",2018-07-23 10:00:00
20,"Product XC46",20,"Food",8,160,"Gerek Musterd","Eddie Moretto","Male",44,"38525 Dorton Alley","Midland",2020-05-04 19:30:00
